timestamp,features_used,model,rmse,mae,mape,notes
2026-08-12 22:50,"customer_count, rain_flag, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",RNN,445.4,290.0,11.14,rain_flag版本A(過去7天，無洩漏風險)
2026-08-12 22:50,"customer_count, rain_flag, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",LSTM,429.5,284.9,10.83,rain_flag版本A(過去7天，無洩漏風險)
2026-08-12 22:52,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, rain_flag, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",RNN,445.3,292.1,11.14,rain_flag版本B(當天/模擬預報值)
2026-08-12 22:52,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, rain_flag, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",LSTM,419.9,277.4,10.57,rain_flag版本B(當天/模擬預報值)
2026-08-12 23:42,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",RNN,438.9,287.6,10.82,回到最佳基準版本，準備做節日重要性分析
2026-08-12 23:42,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",LSTM,404.3,269.2,10.34,回到最佳基準版本，準備做節日重要性分析
2026-08-12 23:53,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, avg_temp, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",RNN,443.4,298.0,11.46,avg_temp版本B(當天/模擬預報值)，重測(修正正規化bug後)
2026-08-12 23:53,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, avg_temp, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",LSTM,422.8,278.7,10.72,avg_temp版本B(當天/模擬預報值)，重測(修正正規化bug後)
2026-08-12 23:58,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, avg_humidity, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",RNN,440.5,290.9,11.11,avg_humidity版本B(當天/模擬預報值)，重測(修正正規化bug後)
2026-08-12 23:58,"customer_count, dow_mon, dow_tue, dow_wed, dow_thu, dow_fri, dow_sat, dow_sun, avg_humidity, holiday_元宵_day, holiday_元宵_dist, holiday_端午_day, holiday_端午_dist, holiday_母親節_day, holiday_母親節_dist, holiday_中秋_day, holiday_中秋_dist, holiday_中元_day, holiday_中元_dist, holiday_七夕_day, holiday_七夕_dist, holiday_父親節_day, holiday_父親節_dist, holiday_雙十_day, holiday_雙十_dist, holiday_冬至_day, holiday_冬至_dist, holiday_聖誕_day, holiday_聖誕_dist, holiday_清明_day, holiday_清明_dist, holiday_元旦_day, holiday_元旦_dist, holiday_除夕_day, holiday_除夕_dist, holiday_春節_day, holiday_春節_dist, holiday_周年慶",LSTM,434.8,287.7,10.95,avg_humidity版本B(當天/模擬預報值)，重測(修正正規化bug後)
